,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
451,22,CURVA INOX 316/L 90GR SOLDA A403 SCH40 4 IMP PC (11857),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 129,46",0.3%,1520,27/04/2018,31/01/2022,Crítico,6.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1449,94,UNIAO PRETA CL A/B 150# 1.1/2 NPT PC (2434),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 45,50",0.2%,1533,22/09/2016,18/01/2022,Crítico,6.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
357,15,CPVC IND NIPLE SCH80 ROSCA 2 PC (6515),CONX - PVC - INDUSTRIAL,CORZAN,2,"R$ 183,72",1.8%,1302,01/09/2022,06/09/2022,Crítico,6.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
735,9,JUNTA VEDACAO CALD.GRAF.450x360x35x10MM PC (5848),INDI - VEDACAO - JUNTAS,LGT,2,"R$ 189,75",5.4%,785,08/03/2022,05/02/2024,Crítico,6.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1338,8,TERM.ANGULAR CARB. 100MM 0-150C H/250MM R.1/2 LATAO BSP - GIDEOLI PC (4463),INDI - MEDICAO - TEMPERATURA,FAMABRAS,3,"R$ 416,44",7.5%,481,30/05/2023,05/12/2024,Obsoleto,6.5%,A (70% do valor),Promover com desconto controlado
205,6,CANTONEIRA GALV.  3/4 X 1/8 - 6kg/br LTb KG (15855),FERR - CARBONO - PERFIL,GERDAU,180,"R$ 1.709,30",8.0%,399,11/12/2023,25/02/2025,Obsoleto,6.5%,B (20% do valor),Promover com desconto controlado
776,95,LUVA GALV. CL 300# 3/4 NPT PC (3488),CONX - FERRO MALEAVEL - TUPY,TUPY,3,"R$ 54,18",0.2%,1509,27/12/2021,11/02/2022,Crítico,6.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1208,95,TAMPAO PRETO 300# 1/4 NPT PC (3513),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 13,04",0.1%,1534,22/09/2016,17/01/2022,Crítico,6.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
792,10,LUVA PVC IRRIGA SOLD.PN 80  75MM CORR PC (6795),CONX - PVC - IRRIGACAO,CORR PLASTIK,1,"R$ 3,77",0.9%,1411,15/12/2016,20/05/2022,Crítico,6.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
593,28,FLANGE A/C WN RF ANSI B16.5 CL.300LBS ASTM A-105 4 PC (15391),CONX - CARBONO - FLANGES,IMPORTADO,12,"R$ 2.817,66",4.8%,855,21/12/2023,27/11/2023,Crítico,6.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
597,29,FLANGE A/C WN RF DIN PN16  1.1/2 I.D. PC (13448),CONX - CARBONO - FLANGES,IMP.GIDEOLI,37,"R$ 854,43",1.4%,1330,04/05/2020,09/08/2022,Crítico,6.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1489,16,VALV.ESF.TRIP.CF8 S1000 1 TI PR TP BSP-MGA PC (7119),VALV - ESFERA - CF8,MGA,1,"R$ 74,76",0.2%,1499,17/12/2019,21/02/2022,Crítico,6.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
565,30,FLANGE A/C LISO RF ANSI B16.5 CL.300LBS ASTM A-105  6 - IMP PC (2879),CONX - CARBONO - FLANGES,GIDEOLI,14,"R$ 4.420,49",7.5%,459,18/03/2025,27/12/2024,Obsoleto,6.4%,A (70% do valor),Promover com desconto controlado
522,6,FILTRO Y INOX 304 1 PN40 Fig 2460 06 BSP Imp. PC (1882),INDI - ACESSORIOS - FILTROS,DIV.,1,"R$ 130,21",1.6%,1292,31/05/2021,16/09/2022,Crítico,6.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
23,27,"ABRACADEIRA INOX 304 TC SUPORTE C/LUVA  76,20MM-3 - I.D. PC (13107)",CONX - INOX - SANITARIO,IMP.GIDEOLI,42,"R$ 1.096,03",3.2%,1055,19/03/2024,11/05/2023,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
408,35,CURVA A/C 90 SCH 40 S/C RL ASTM A234 WPB  5 PC (733),CONX - CARBONO - SOLDA TOPO,IMPORTADO,3,"R$ 489,06",1.2%,1345,03/05/2023,25/07/2022,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1152,23,REDUCAO INOX 304 CONC.SCH 10  8 X 3 - I.D. PC (12934),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,6,"R$ 1.449,39",3.1%,1063,19/03/2024,03/05/2023,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
984,4,PORCA SEXT INOX 304 TRAVANTE 6MM MA IMP PC (15351),FIXA - PARAFUSOS - PORCAS,BELENUS,100,"R$ 15,44",1.8%,1251,10/02/2023,27/10/2022,Crítico,6.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1168,11,REDUCAO PVC IRRIGA 150 X 100MM C.I. PC (14531),CONX - PVC - IRRIGACAO,DIV.,1,"R$ 32,56",7.7%,397,27/02/2025,27/02/2025,Obsoleto,6.3%,B (20% do valor),Promover com desconto controlado
437,24,CURVA INOX 304/L 90GR SOLDA A403 SCH10  5 - I.D. PC (12902),CONX - INOX - SOLDA TOPO,IMP.GIDEOLI,10,"R$ 1.346,64",2.9%,1083,19/03/2024,13/04/2023,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
418,28,"CURVA INOX 304 90GR OD 125,00MM - 5 X 2,00MM PE PC (8976)",CONX - INOX - SANITARIO,IMPORTADO,2,"R$ 579,12",1.7%,1259,06/06/2022,19/10/2022,Crítico,6.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
178,96,BUCHA RED.PRETA 150# 1/2 X 1/4 NPT - TUPY PC (8389),CONX - FERRO MALEAVEL - TUPY,TUPY,64,"R$ 283,27",1.2%,1331,03/01/2023,08/08/2022,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1178,4,"SERR-CANOPLA INOX 304 RED.ABAUL. 38,10MM(1.1/2) PC (7589)",CONX - INOX - SERRALHERIA,AM SILVA,1,"R$ 4,33",1.3%,1310,02/08/2022,29/08/2022,Crítico,6.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
893,16,PARAF SEXT INOX 304 UNC 5/8 X 3 RP - IMP PC (11685),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,5,"R$ 41,80",2.2%,1180,03/01/2022,06/01/2023,Crítico,6.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
484,10,ER ACOPLADOR TAMPAO EFT-DC/TAD INOX 304 3 PC (16801),ACESS - ENGATES - CAMLOK,IMPORTADO,2,"R$ 335,85",4.7%,830,19/12/2023,22/12/2023,Crítico,6.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
105,7,AR-TEE CENTRAL 16MM X 1/2 BSP PC (16159),PNHD - PNEUMATICA - CONEXOES,E-MC,9,"R$ 224,84",7.4%,432,10/03/2025,23/01/2025,Obsoleto,6.2%,A (70% do valor),Promover com desconto controlado
1362,9,"TUBO ACO S/C SCH 40  1.1/4 API5L/A106 GR.B (42,40X3,56) IMP KG (2780)",TUBO - CARBONO - CONDUCAO,IMPORTADO,81,"R$ 1.138,78",7.0%,490,30/08/2021,26/11/2024,Obsoleto,6.2%,B (20% do valor),Promover com desconto controlado
596,31,FLANGE A/C WN RF DIN PN16  1 I.D. PC (13447),CONX - CARBONO - FLANGES,IMP.GIDEOLI,39,"R$ 660,00",1.1%,1330,04/05/2020,09/08/2022,Crítico,6.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1448,97,UNIAO PRETA CL A/B 150# 1 NPT PC (2433),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 711,91",3.0%,1056,22/11/2023,10/05/2023,Crítico,6.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
523,7,FILTRO Y INOX 316 2.1/2 PN40 BSP I.D.PS PC (14578),INDI - ACESSORIOS - FILTROS,IMP.GIDEOLI,1,"R$ 176,99",2.2%,1162,14/03/2022,24/01/2023,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1509,6,VALV.ESF.TRIP.WCB F300 S1000  1/2 PR TR HC/P.B7/2H TRAVA PC (6774),VALV - ESFERA - WCB,MGA,3,"R$ 497,40",1.4%,1280,14/12/2022,28/09/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
598,32,FLANGE A/C WN RF DIN PN16  4 I.D. PC (13452),CONX - CARBONO - FLANGES,IMP.GIDEOLI,1,"R$ 47,00",0.1%,1471,04/05/2020,21/03/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
957,10,POL-ABRASIVO P/POLIR ACRILICO BEGE (BARRA) PC (11797),CONS - ACESS - POLIMENTO,AGAPOL,1,"R$ 14,93",1.4%,1285,26/03/2018,23/09/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1364,10,"TUBO ACO S/C SCH 40  6 A106 GR.B (168,30X7,11) - IMP KG (13440)",TUBO - CARBONO - CONDUCAO,IMPORTADO,59,"R$ 645,11",3.9%,915,27/09/2023,28/09/2023,Crítico,6.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1328,98,TE RED.PRETO 150# 3/4 X 1/2 PC (7936),CONX - FERRO MALEAVEL - TUPY,TUPY,5,"R$ 30,03",0.1%,1460,26/01/2019,01/04/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
825,14,MAN.RETO 100MM 100 KGF/CM2 X 1500 PSI CX.CARB.R1/2 NPT LATAO - GIDEOLI PC (5269),INDI - MEDICAO - PRESSAO,FAMABRAS,1,"R$ 109,77",1.8%,1225,29/06/2020,22/11/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
387,99,CURVA 90 GALV. MACHO   3/8 - TUPY PC (3197),CONX - FERRO MALEAVEL - TUPY,TUPY,7,"R$ 12,44",0.1%,1469,22/09/2016,23/03/2022,Crítico,6.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1612,24,VALV.SOLEN.  3/4 LATAO 220V NF VAPOR - SUS20 PC (14981),VALV - CONTROLE - SOLENOIDE,STNC,3,"R$ 2.205,47",7.6%,386,28/03/2025,10/03/2025,Obsoleto,6.2%,A (70% do valor),Promover com desconto controlado
136,7,"BARRA REDONDA ACO 1020  38,10 (1.1/2) - 9,00kg/mt KG (10895)",FERR - CARBONO - BARRAS,NACIONAL,3,"R$ 14,70",0.2%,1436,06/03/2019,25/04/2022,Crítico,6.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1229,26,TE A/C A105 3000L SW 2 PC (2850),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,8,"R$ 758,51",3.6%,942,31/01/2024,01/09/2023,Crítico,6.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
667,7,INC-ABRIGO SOBREPOR P/MANG.  90X60X17CM PC (2916),INCN - HIDRAULICA - ABRIGO,DIV.,1,"R$ 182,47",2.8%,1064,08/12/2022,02/05/2023,Crítico,6.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
626,10,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  4 IMP PC (16098),CONX - INOX - FLANGES,GIDEOLI,9,"R$ 3.586,02",5.9%,610,01/10/2024,29/07/2024,Alto,6.1%,A (70% do valor),Campanha comercial agressiva
1008,27,PPR AZUL LUVA MISTA LR 110 X 4 PC (15641),TUBO - PVC - PPR,TOP FUSION,2,"R$ 657,46",2.3%,1132,09/05/2023,23/02/2023,Crítico,6.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1293,100,TE PRETO CL 150# 1 NPT PC (583),CONX - FERRO MALEAVEL - TUPY,TUPY,21,"R$ 457,06",1.9%,1180,20/03/2023,06/01/2023,Crítico,6.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
259,14,CONJ.VEDACAO P/VALV.VEB F150 PTFE REF. 2.1/2 MGA - PRETO CJ (4632),VALV - ESFERA - ACESSORIOS,MGA,4,"R$ 147,88",4.8%,770,10/10/2016,20/02/2024,Crítico,6.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
409,36,CURVA A/C 90 SCH 40 S/C RL ASTM A234 WPB 14 I.D. PC (12530),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,5,"R$ 2.664,49",6.6%,510,04/05/2020,06/11/2024,Obsoleto,6.1%,A (70% do valor),Promover com desconto controlado
557,33,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105 10 PC (15878),CONX - CARBONO - FLANGES,GIDEOLI,4,"R$ 1.662,38",2.8%,1051,18/04/2023,15/05/2023,Crítico,6.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1458,6,"VALV.BORB.INOX SANIT.304  25,40 (1) SOLDA/SILICONE/ALAV.RETRATIL - I.D. PC (13109)",VALV - BORB - SANIT,IMP.GIDEOLI,5,"R$ 331,72",6.9%,453,16/01/2020,02/01/2025,Obsoleto,6.1%,C (10% do valor),Promover com desconto controlado
60,7,"ANEL DE VEDACAO P/VALV.BORBOLETA SANIT. 38,10MM-1.1/2 VITON PC (14033)",VALV - BORB - SANIT,IMPORTADO,1,"R$ 47,71",1.0%,1300,26/01/2021,08/09/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1309,101,TE RED.GALV.  1/2 X 3/8 - TUPY PC (3247),CONX - FERRO MALEAVEL - TUPY,TUPY,8,"R$ 12,75",0.1%,1436,22/09/2016,25/04/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
917,5,PEAD-ADAPTADOR PP 20 X 1/2 PC (1343),CONX - PVC - PEAD,POLIERG,14,"R$ 9,94",0.8%,1328,15/12/2016,11/08/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
0,8,ABRAC. P/MANGOTE CHAPA 20MM  99x107 (3.7/8x4.1/4) PC (6419),FIXA - ACESS - ABRACADEIRAS,INCA,4,"R$ 31,87",1.8%,1180,28/09/2019,06/01/2023,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
69,29,"ANEL DE VEDACAO TC VITON 101,60MM-4 PC (15245)",CONX - INOX - SANITARIO,NACIONAL,10,"R$ 316,95",0.9%,1302,25/03/2024,06/09/2022,Crítico,6.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
625,11,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  3 PC (15253),CONX - INOX - FLANGES,GIDEOLI,2,"R$ 502,72",0.8%,1315,22/02/2024,24/08/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1275,25,TE INOX 304/L SCH 10 2.1/2 PC (7530),CONX - INOX - SOLDA TOPO,IMPORTADO,4,"R$ 270,67",0.6%,1350,12/06/2017,20/07/2022,Crítico,6.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1160,26,REDUCAO INOX 304 EXC.SCH 10 4 X 1.1/2 PC (2169),CONX - INOX - SOLDA TOPO,NACIONAL,2,"R$ 130,43",0.3%,1393,08/08/2022,07/06/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1135,26,REDUCAO INOX 304 CONC.SCH 10  1.1/2 X 3/4 PC (1775),CONX - INOX - SOLDA TOPO,IMPORTADO,6,"R$ 239,74",0.5%,1357,28/07/2022,13/07/2022,Crítico,6.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1001,28,PPR AZUL JOELHO 45  40MM PC (14345),TUBO - PVC - PPR,TOP FUSION,26,"R$ 142,92",0.5%,1363,19/04/2022,07/07/2022,Crítico,6.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1421,27,UNIAO A/C A105 3000L A/I SW 1.1/2 - IMP PC (1740),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,19,"R$ 1.240,86",6.0%,573,30/08/2024,04/09/2024,Alto,6.0%,A (70% do valor),Campanha comercial agressiva
670,9,INC-BOTOEIRA ALARME ENDER. Q/V INC. AMQ-D PC (16884),INCN - ELETRICA - ALARME,ILUMAC,3,"R$ 298,56",4.7%,753,23/01/2024,08/03/2024,Crítico,5.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
283,102,COTOVELO 90 GALV. CL 300# 3/4 NPT PC (3463),CONX - FERRO MALEAVEL - TUPY,TUPY,3,"R$ 76,87",0.3%,1373,21/02/2022,27/06/2022,Crítico,5.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
174,27,BUCHA RED.INOX 316 6000# NPT 3/4 X 1/2 PC (7238),CONX - INOX - ROSCAVEL,IMPORTADO,5,"R$ 331,12",1.3%,1225,09/11/2022,22/11/2022,Crítico,5.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1130,30,REDUCAO INOX 304 CONC.OD 4 X 3 PIPE - I.D.PS PC (14825),CONX - INOX - SANITARIO,IMP.GIDEOLI,6,"R$ 341,23",1.0%,1267,14/03/2022,11/10/2022,Crítico,5.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
343,16,CPVC IND BUCHA REDUCAO SCH80 4 X 2.1/2 - IMP PC (16089),CONX - PVC - INDUSTRIAL,CEPEX,4,"R$ 503,99",4.9%,707,09/04/2024,23/04/2024,Alto,5.9%,B (20% do valor),Campanha comercial agressiva
1121,37,REDUCAO A/C EXC.SCH 40 S/C ASTM A234 WPB 12 X 6 PC (13254),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 710,10",1.8%,1154,23/02/2024,01/02/2023,Crítico,5.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1268,31,TE INOX 304/L OD SOLDA RED. 4'' X  2 PIPE - I.D. PC (13098),CONX - INOX - SANITARIO,IMP.GIDEOLI,22,"R$ 1.165,83",3.4%,911,16/01/2020,02/10/2023,Crítico,5.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1614,25,VALV.SOLEN. 2 LATAO 220V NF - TUW50 PC (6340),VALV - CONTROLE - SOLENOIDE,STNC,1,"R$ 1.384,62",4.8%,720,28/03/2024,10/04/2024,Crítico,5.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1584,8,VALV.RET.HOR.T/PISTAO METAL/METAL BRONZE 150 FIG 1322  1/2 - DULONG PC (10868),VALV - RETENCAO - BRONZE,DULONG,3,"R$ 231,22",6.9%,412,07/11/2022,12/02/2025,Obsoleto,5.8%,C (10% do valor),Promover com desconto controlado
483,11,ER ACOPLADOR TAMPAO EFT-DC/TAD INOX 304 1.1/2 PC (16123),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 225,55",3.1%,953,21/11/2023,21/08/2023,Crítico,5.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
42,23,ANEL DE BORRACHA DEFOFO 150MM PC (2099),CONX - PVC - ACESSORIOS,JCM,6,"R$ 20,71",0.5%,1328,26/09/2018,11/08/2022,Crítico,5.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
933,27,PESTANA INOX 304/L SCH10 LONGA MSSP-SP  2.1/2 PC (9263),CONX - INOX - SOLDA TOPO,IMPORTADO,3,"R$ 406,32",0.9%,1272,20/12/2021,06/10/2022,Crítico,5.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
534,34,FLANGE A/C CEGO RF ANSI B16.5 CL.300LBS ASTM A-105  1/2 - IMP PC (532),CONX - CARBONO - FLANGES,GIDEOLI,5,"R$ 140,46",0.2%,1365,26/09/2022,05/07/2022,Crítico,5.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
402,38,CURVA A/C 45 SCH 40 S/C ASTM A234 WPB 10 PC (5284),CONX - CARBONO - SOLDA TOPO,IMPORTADO,4,"R$ 1.255,65",3.1%,953,14/05/2024,21/08/2023,Crítico,5.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1470,7,VALV.ESF.BIP.WCB F150  4 PP TP - NVL PC (1844),VALV - ESFERA - WCB,NVL,1,"R$ 465,34",1.3%,1209,15/07/2020,08/12/2022,Crítico,5.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1613,26,VALV.SOLEN. 1.1/2 LATAO 220V NF VAPOR - SUS40 PC (11549),VALV - CONTROLE - SOLENOIDE,STNC,1,"R$ 1.105,73",3.8%,852,15/12/2023,30/11/2023,Crítico,5.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1491,17,VALV.ESF.TRIP.CF8 S1000 2.1/2 TI PR TR BSP OCA -MGA PC (10420),VALV - ESFERA - CF8,MGA,4,"R$ 2.022,87",6.4%,482,29/08/2023,04/12/2024,Obsoleto,5.8%,B (20% do valor),Promover com desconto controlado
342,17,CPVC IND BUCHA REDUCAO SCH80 3 X 2.1/2  - IMP PC (16091),CONX - PVC - INDUSTRIAL,CEPEX,5,"R$ 290,41",2.8%,986,18/01/2024,19/07/2023,Crítico,5.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
620,12,FLANGE INOX 304/L CEGO RF ANSI B16.5 150LBS  1 PC (8357),CONX - INOX - FLANGES,GIDEOLI,1,"R$ 89,97",0.1%,1369,26/10/2021,01/07/2022,Crítico,5.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1226,28,TE A/C A105 3000L NPT 2 PC (8797),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,6,"R$ 906,66",4.4%,753,18/04/2024,08/03/2024,Crítico,5.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1024,29,PPR BOCAL MACHO E FEMEA  75MM(CONJ) IMPORTADO PC (9020),TUBO - PVC - PPR,TOP FUSION,1,"R$ 52,99",0.2%,1355,08/08/2022,15/07/2022,Crítico,5.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
13,9,ABRAC. TIPO U ZINC. 4 PC (3626),FIXA - ACESS - ABRACADEIRAS,SUPERA,123,"R$ 83,63",4.7%,704,08/11/2016,26/04/2024,Alto,5.8%,B (20% do valor),Campanha comercial agressiva
1326,103,TE RED.PRETO 150#  1 X 1/2 NPT PC (46),CONX - FERRO MALEAVEL - TUPY,TUPY,13,"R$ 139,59",0.6%,1294,26/01/2019,14/09/2022,Crítico,5.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
191,29,BUJAO A/C A105 6000L NPT  3/4 PC (15543),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,33,"R$ 513,24",2.5%,1021,19/12/2022,14/06/2023,Crítico,5.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1551,13,VALV.GLOBO PASS.RETA P/VAPOR ANSI 150#  3/4 - 200.20.150 PC (16256),VALV - GLOBO - WCB,VALVUGAS,4,"R$ 4.401,49",5.7%,550,24/01/2025,27/09/2024,Alto,5.7%,B (20% do valor),Campanha comercial agressiva
1602,10,VALV.RET.T/DISCO WAFER INOX 316 PN40 E ANSI  3/4 - I.D.PS PC (14846),VALV - RETENCAO - INOX,IMP.GIDEOLI,6,"R$ 357,15",3.2%,911,14/03/2022,02/10/2023,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
533,35,FLANGE A/C CEGO RF ANSI B16.5 CL.150LBS ASTM A-105 16 PC (10136),CONX - CARBONO - FLANGES,GIDEOLI,1,"R$ 585,95",1.0%,1231,22/09/2016,16/11/2022,Crítico,5.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1297,104,TE PRETO CL 300# 1.1/2 NPT PC (2446),CONX - FERRO MALEAVEL - TUPY,TUPY,2,"R$ 88,28",0.4%,1321,07/02/2019,18/08/2022,Crítico,5.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
595,36,FLANGE A/C WN RF ANSI B16.5 CL.300LBS ASTM A-105 8 - IMP PC (17010),CONX - CARBONO - FLANGES,IMPORTADO,4,"R$ 2.529,57",4.3%,753,05/03/2024,08/03/2024,Crítico,5.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
138,8,"BARRA REDONDA ACO 1045  63,50 (2.1/2) - 25,80kg/mt KG (8891)",FERR - CARBONO - BARRAS,NACIONAL,19,"R$ 165,98",2.5%,1016,23/06/2022,19/06/2023,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
923,7,"PERFIL U DOBR. 100x50x2,65x6000mm - 23,64kg/br KG (13526)",FERR - CARBONO - PERFIL,GER/CSN/ARC,48,"R$ 700,26",3.3%,894,23/05/2022,19/10/2023,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1398,5,"TUBO PRETO C/C  15,87 X 1,20 X 6000MM - 2,60kg/br KG (10381)",TUBO - CARBONO - INDUSTRIAL,DIV.,1,"R$ 3,72",0.7%,1265,11/01/2018,13/10/2022,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
121,10,ATUADOR - KIT VET S1000 1.1/4 PP E 1.1/2 PR F04/F05/F07 M14 Q17MM ACO CARB. PC (9441),PNHD - PNEUMATICA - ATUADORES,MGA,4,"R$ 340,38",2.9%,944,31/05/2022,30/08/2023,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
2,10,ABRAC. TIPO GOTA ECONOMICA ZINC.  1 PC (12632),FIXA - ACESS - ABRACADEIRAS,SUPERA,147,"R$ 74,53",4.2%,761,22/04/2019,29/02/2024,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
382,105,CURVA 90 GALV. FEMEA   3/4 - TUPY PC (3193),CONX - FERRO MALEAVEL - TUPY,TUPY,2,"R$ 23,03",0.1%,1348,14/11/2019,22/07/2022,Crítico,5.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1015,30,PPR AZUL TE RED. 110 X 63MM PC (15888),TUBO - PVC - PPR,TOP FUSION,6,"R$ 610,00",2.1%,1057,08/08/2023,09/05/2023,Crítico,5.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1013,31,PPR AZUL TE 110MM PC (10526),TUBO - PVC - PPR,TOP FUSION,8,"R$ 779,30",2.7%,966,25/09/2023,08/08/2023,Crítico,5.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1439,28,UNIAO INOX ROSCA 304 A.METAL 150# 2 BSP - ID.PS PC (14561),CONX - INOX - ROSCAVEL,IMP.GIDEOLI,9,"R$ 476,84",1.9%,1083,14/03/2022,13/04/2023,Crítico,5.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1079,39,REDUCAO A/C CONC.SCH 40 S/C ASTM A234 WPB  3.1/2 X 3 PC (7222),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 86,27",0.2%,1322,23/05/2019,17/08/2022,Crítico,5.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
985,5,PORCA SEXT INOX 316 UNC 5/8-11 - IMP. PC (16407),FIXA - PARAFUSOS - PORCAS,BELENUS,12,"R$ 30,89",3.6%,830,16/10/2023,22/12/2023,Crítico,5.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
288,106,COTOVELO 90 PRETO CL 150# 1.1/2 NPT PC (7749),CONX - FERRO MALEAVEL - TUPY,TUPY,11,"R$ 280,99",1.2%,1180,31/01/2022,06/01/2023,Crítico,5.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
